Benchmark,Query,Datafusion,DuckDB
tpch,1,16.69,7.82,2.14x slower
tpch,2,6.9,1.5,4.59x slower
tpch,3,6.94,7.36,1.06x faster
tpch,4,3.36,6.57,1.95x faster
tpch,5,12.84,7.1,1.81x slower
tpch,6,4.1,4.62,1.13x faster
tpch,7,24.08,15.22,1.58x slower
tpch,8,8.87,11.34,1.28x faster
tpch,9,18.68,28.18,1.51x faster
tpch,10,12.01,12.18,1.01x faster
tpch,11,11.35,0.92,12.33x slower
tpch,12,5.34,5.32,1.0x slower
tpch,13,17.78,8.47,2.1x slower
tpch,14,5.6,5.36,1.04x slower
tpch,16,3.28,1.26,2.61x slower
tpch,17,59.11,13.71,4.31x slower
tpch,18,52.61,21.88,2.4x slower
tpch,19,10.33,8.07,1.28x slower
tpch,20,11.17,8.24,1.35x slower
tpch,21,33.08,22.33,1.48x slower
tpch,22,9.29,2.51,3.7x slower
h2o,1,2.48,4.2,1.69x faster
h2o,2,3.52,4.78,1.36x faster
h2o,3,5.27,5.55,1.05x faster
h2o,4,3.0,4.52,1.51x faster
h2o,5,3.67,5.81,1.58x faster
h2o,6,9.95,5.85,1.7x slower
h2o,7,4.14,5.17,1.25x faster
h2o,8,8.06,7.37,1.09x slower
h2o,9,13.21,5.06,2.61x slower
h2o,10,12.14,25.43,2.1x faster
clickbench,1,1.22,0.18,6.74x slower
clickbench,2,0.36,0.81,2.25x faster
clickbench,3,1.11,1.78,1.6x faster
clickbench,4,1.09,1.5,1.38x faster
clickbench,5,20.74,8.34,2.49x slower
clickbench,6,17.81,11.98,1.49x slower
clickbench,7,0.3,2.08,6.91x faster
clickbench,8,0.37,0.83,2.24x faster
clickbench,9,27.91,10.83,2.58x slower
clickbench,10,25.84,14.11,1.83x slower
clickbench,11,4.29,3.22,1.33x slower
clickbench,12,4.67,8.69,1.86x faster
clickbench,13,11.38,10.27,1.11x slower
clickbench,14,26.96,14.61,1.84x slower
clickbench,15,12.7,11.15,1.14x slower
clickbench,16,13.31,9.12,1.46x slower
clickbench,17,29.6,21.97,1.35x slower
clickbench,18,29.09,21.23,1.37x slower
clickbench,19,92.31,39.1,2.36x slower
clickbench,20,0.8,1.33,1.65x faster
clickbench,25,6.01,8.44,1.4x faster
clickbench,26,5.02,6.11,1.22x faster
clickbench,27,6.59,8.4,1.28x faster
clickbench,28,23.62,23.85,1.01x faster
clickbench,29,107.41,62.99,1.71x slower
clickbench,30,5.91,69.08,11.7x faster
clickbench,31,12.59,12.95,1.03x faster
clickbench,32,14.85,15.93,1.07x faster
clickbench,33,92.17,57.2,1.61x slower
clickbench,36,27.89,11.48,2.43x slower
clickbench,37,0.67,0.52,1.31x slower
clickbench,38,0.34,0.38,1.12x faster
clickbench,39,0.34,0.42,1.24x faster
clickbench,40,2.05,0.83,2.46x slower
clickbench,41,0.2,0.25,1.28x faster
clickbench,42,0.17,0.24,1.43x faster
clickbench,43,0.19,0.27,1.44x faster